0,=,isExperienceEligible,years_occurrence,link
112,Python Developer,False,"['ent – 4-5 years', 'python: 3 years', 'l work: 5 years']",https://in.indeed.com/rc/clk?jk=9ae96fc961658af0&bb=GUjWRUgTwtadKygyZcMNH8fmP5qt74ojkWNf9fJ0EBtmN1HgLWlQpIUl1Ip3lj_bFMhU-vSLOwXqM5MpP2I2WN7uR9f-d-XHnT2YJJcDoBg%3D&xkcb=SoD167M3FA0zQJgMJL0NbzkdCdPP&fccid=14944ea4142351af&cmp=Matrix-Intertech-Pvt.Ltd.&ti=Python+Developer&vjs=3
113,"Azure , ETL , SQL ( PAN India )",True,[],https://in.indeed.com/rc/clk?jk=e8637a1e6c48156a&bb=GUjWRUgTwtadKygyZcMNHw70f3T8f6yyp87pYLUViyFE6aagcfRM6KkJiUZWxu6e--hY_UGo8xxVtK9B4ktEI6n3_DSo7S8V9vRPwEF0LS0%3D&xkcb=SoBB67M3FA0zQJgMJL0MbzkdCdPP&fccid=c67533a523c83a4c&vjs=3
114,Power BI Developer,False,"['ence : 5+ years', 'l work: 5 years']",https://in.indeed.com/rc/clk?jk=5f85c351d9604cdc&bb=GUjWRUgTwtadKygyZcMNH8AUvgTguz_wKdZevMTDEz6rZQHBZC1aRQil7VYped7zKRQLcdakfhW_2oM1WmSpv0HHKcxvCjEyf6bmUpMuyDo%3D&xkcb=SoCo67M3FA0zQJgMJL0DbzkdCdPP&fccid=d0377b42bd69efd8&cmp=Mobile-Programming&ti=Business+Intelligence+Developer&vjs=3
115,Mid-level Developer,False,['/> 3 to 5 years'],https://in.indeed.com/rc/clk?jk=354c5ed27a6f364c&bb=GUjWRUgTwtadKygyZcMNH0d6rB5Ew-mQFjQmivIsl8n1Vy7UaWOve1ss1kgZfZVrAcwxT0S__-aEazggMLXIvMZIylR_OdshSziJhD4ksy0%3D&xkcb=SoAc67M3FA0zQJgMJL0CbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3
116,Python Developer,False,"[': </b>6-8 yrs', 'oper – 6+ years', '>total: 7 years', 'rnetes: 4 years', 'docker: 4 years']",https://in.indeed.com/rc/clk?jk=8b1260c1e06744cc&bb=GUjWRUgTwtadKygyZcMNH5G7GqV-JcpCzzekWecCKP1Nv9vVO3hkkpWtFJ4zJJFuKtT2fyaAPkCRQscVq6jPo-0lwXElhtoDy6d_Qf1FQjg%3D&xkcb=SoCB67M3FA0zQJgMJL0BbzkdCdPP&fccid=0c97edd832cbb73f&cmp=Aliqan-Technologies&ti=Python+Developer&vjs=3
117,QA Automation Python| UNIX| SQL| Java,False,"['rt with 5+yrs', 's with 3+ yrs']",https://in.indeed.com/rc/clk?jk=b8f7a79339b5136c&bb=GUjWRUgTwtadKygyZcMNH8mqEFFxAkhX8pw-pzbysMpYheNqj-qv8TK7R3ZIk52wNyeO1X1ccPIiLfl6CyG--CyZCvUKN4-D6Ip5iQF2cso%3D&xkcb=SoA167M3FA0zQJgMJL0AbzkdCdPP&fccid=057abf3fd357e717&vjs=3
118,JavaScript-Application Developer,True,['inimum 15 years'],https://in.indeed.com/rc/clk?jk=d47c16f08eb344df&bb=GUjWRUgTwtadKygyZcMNH3eKD1EntcR8PHDdTXetejOc-h68FpDZUsyP2QGrIOiiR3E05cILuKOI0r1zC0nP6uyonCxGKDnHpZEbVVYtnW8%3D&xkcb=SoC767M3FA0zQJgMJL0HbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
119,Senior Simulation & Analysis Engineer,True,[],https://in.indeed.com/rc/clk?jk=9c51ebd6c528bd6d&bb=GUjWRUgTwtadKygyZcMNHxLeQYXIt0aBF0w9xE32dUtZPC0vYZ3MjFCMKY1kJhaBxqZbSpQNVClM2tei17SSQYsr4FVRHIRlnMAeAX9vOb8%3D&xkcb=SoAP67M3FA0zQJgMJL0GbzkdCdPP&fccid=0f63e537c80f169b&vjs=3
120,Principal Member of Technical Staff,True,[],https://in.indeed.com/rc/clk?jk=b40abea95a5dd367&bb=GUjWRUgTwtadKygyZcMNH8fmP5qt74ojiqJlVjaVI2Hn05OIRWzU5SL8FmLvMqXrVHnt8o8Yj4y0AfpYQ9KOvX2PQ-uvV-_mlvmnqi3XnDs%3D&xkcb=SoCS67M3FA0zQJgMJL0FbzkdCdPP&fccid=cd22d01053af7669&vjs=3
121,Data Analytics,True,['ence: 2-5 years'],https://in.indeed.com/rc/clk?jk=9ba3a0b8c10a321d&bb=AcMNH6y5KLoHCnLrXAdxzW1WURQf4FFkCHdhWF94PHJJv65IF5Ju_q9LSsBN55_HVmhFH-dTQETrx4CxG9tbjTzG_HGMx_RsSAXmil12BBo%3D&xkcb=SoCD67M3FA1MnuySxR0LbzkdCdPP&fccid=a32ed1a00f8729a8&vjs=3
122,Technical BA - Exchange Feeds,False,[' least 3+ years'],https://in.indeed.com/rc/clk?jk=f583a4f147baf94e&bb=AcMNH6y5KLoHCnLrXAdxzZHJkjWTsmH6BqttkSqQQZrRIvSqo4EgQ9LELjJsGmfiSGMF7A9ETtMaIwvSbjJpbiOyXoNy4rye7NmL9KbLkkY%3D&xkcb=SoA367M3FA1MnuySxR0KbzkdCdPP&fccid=720f13c280f4c1c0&vjs=3
123,Backend Developer,False,['ience: 5+ years'],https://in.indeed.com/rc/clk?jk=d853ab566390dfec&bb=AcMNH6y5KLoHCnLrXAdxzR4tY4kL3zsNqQrwyU4CSMcvLpV1RULDfEdJ3F8hFRdNJ-QlRNA-SHuw09hUGfhi1MM3fVocfU50qiHNkqhUJ3Y%3D&xkcb=SoCq67M3FA1MnuySxR0JbzkdCdPP&fccid=99e2b19821c2bad5&vjs=3
124,Software Developer - UAV,False,['l> <li>3+ years'],https://in.indeed.com/rc/clk?jk=9777dc92d3b2c394&bb=AcMNH6y5KLoHCnLrXAdxzfPz1k7MhDBhxp_b5e6P-lrRb5xezCPcNPwP1mwZ_I0SysEzJXUGtJk-6WzsOh2mog4ac5OZvtkvCX_NwDx5c1Q%3D&xkcb=SoAe67M3FA1MnuySxR0IbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
125,EDC Developer,True,"[' : 2 to 6 years', 'ls<br/> 2 years']",https://in.indeed.com/rc/clk?jk=59d525dfd1b54dd0&bb=AcMNH6y5KLoHCnLrXAdxzQGtoIRUD-wunD5XSC_63VUOKulCURJx7eCpgTDUZkYCEoVeLw6KcNt4IWZsA3yWS6-zy_LKH7-aR5SultWUVR8%3D&xkcb=SoCQ67M3FA1MnuySxR0PbzkdCdPP&fccid=146443e77d8c0778&vjs=3
126,Senior Backend Developer,True,['l> <li>2+ years'],https://in.indeed.com/rc/clk?jk=d26382fb30eff1b5&bb=AcMNH6y5KLoHCnLrXAdxzYIUEGRwvr9AO-Q8JJbmPuOfkCcU8_63tNsgZTzUMD6iIh2mjLR_-VlS6y4mFzjX8CawPlRAGmwLqEbtgoAeyrM%3D&xkcb=SoAk67M3FA1MnuySxR0ObzkdCdPP&fccid=d10207aabbbace1b&vjs=3
127,Python+Golang Developer,False,['l work: 3 years'],https://in.indeed.com/rc/clk?jk=57c3407430cd6a7f&bb=AcMNH6y5KLoHCnLrXAdxzbwf2SWMn6I16JFncbYlb5PbGvg6qGmAcKzHcVRPVKXE70uouKd4GKfmTHkb0p8pEsIjOC3gwDF8bz49rkg06lE%3D&xkcb=SoC567M3FA1MnuySxR0NbzkdCdPP&fccid=9b2c516fcf46707a&cmp=AV-Technoserve-Services&ti=Python+Developer&vjs=3
128,Cloud Software Development Engineer,False,['eld. - 6+ years'],https://in.indeed.com/rc/clk?jk=8b51adee403a4da1&bb=AcMNH6y5KLoHCnLrXAdxzefcIxb1y-5y30gmDJpTOjL2XuqNYdBBstH8_HQovrMeM-dD6MGIBs3uYxuXr31CpaC69uc68FrzjycBkM6xLys%3D&xkcb=SoAN67M3FA1MnuySxR0MbzkdCdPP&fccid=936367796261bd6e&vjs=3
129,Senior Full Stack Developer,False,['> <li>4-8 years'],https://in.indeed.com/rc/clk?jk=d60d0698181e059d&bb=AcMNH6y5KLoHCnLrXAdxzX-eL80qn5rMhsK4JgnkneZMJcmDxtKZFqc-L5GzEV_mJoqojK-JvhW_47k74yt4SQmuNHRqOJ2yfmyyjtB-qQw%3D&xkcb=SoDk67M3FA1MnuySxR0DbzkdCdPP&fccid=2af6623a56079fe5&cmp=NTWIST-Inc&ti=Full+Stack+Developer&vjs=3
130,C++ Developer,True,"['eld 2. 3+ years', 'eld 2. 3+ years']",https://in.indeed.com/rc/clk?jk=9e86d4559f4454b9&bb=AcMNH6y5KLoHCnLrXAdxzWxLlFPtT0YcgpDkWbd8FzqeHtPWuZz1fHWFnPIjh_XKpo15Tk6WijOOS5AUCT227SlnmGNJ88prGT24NNDXx2s%3D&xkcb=SoBQ67M3FA1MnuySxR0CbzkdCdPP&fccid=01bb9926411ba157&vjs=3
131,Engineering Manager,False,"['0 or more years', '5 or more years']",https://in.indeed.com/rc/clk?jk=86d687cf32f5f8a5&bb=AcMNH6y5KLoHCnLrXAdxzRFnS2P6Zjh0je5JV8pg5nPFo7qCXrJjsaoYLv_FO6ZNneqsGC_B9cBsorHZVrnWM5u3LL_d7OQNMiRNNS0gL_0%3D&xkcb=SoDN67M3FA1MnuySxR0BbzkdCdPP&fccid=216eb700022de6f6&vjs=3
132,Software Developer,False,[' <br/> 5+ years'],https://in.indeed.com/rc/clk?jk=d2cc0dd9d4e29531&bb=AcMNH6y5KLoHCnLrXAdxzdEgVZntxA2u8eKrGkCgDnDH_A-PonaoEHzMEbNroF09nPbX7RBZqiXvJRUW_XpumXbvR8PI7miyevg8Cr__xYY%3D&xkcb=SoB567M3FA1MnuySxR0AbzkdCdPP&fccid=1c76c3a36f6c7557&vjs=3
133,JavaScript Python Linux Developer,True,[],https://in.indeed.com/rc/clk?jk=6aebc319d76d556b&bb=AcMNH6y5KLoHCnLrXAdxzWw55UVIbJJ5IQaI3rvjMvRF8LjICR24q_apvpEdOHDnEu3PvRLLME-Av1fdPhDG-mOI4QegUi8BfJlhnQTz5cY%3D&xkcb=SoD367M3FA1MnuySxR0HbzkdCdPP&fccid=c67533a523c83a4c&vjs=3
134,Senior Front End Developer,False,"['> <li>3-7 years', 'opment: 3 years']",https://in.indeed.com/rc/clk?jk=5140c44ed2cf821b&bb=AcMNH6y5KLoHCnLrXAdxzfMglVXcQrd5MfeOxNwGq563DGR01oezgoo8qvFdZPJTe-IPp_Lctl5cOsJ-MUs6sb5mDmIgN5m-ciKV0EzMr74%3D&xkcb=SoBD67M3FA1MnuySxR0GbzkdCdPP&fccid=0c237049e0e53531&cmp=Qbits-Education-Pvt.-Ltd&ti=Front+End+Developer&vjs=3
135,Sr. SDE (Python),False,"['inimum 5+ years', 'eader""><b>years']",https://in.indeed.com/rc/clk?jk=a2d2f780e68df2b3&bb=AcMNH6y5KLoHCnLrXAdxzbqA3wDCC0wiJ_1Cx5R6mmiqq_izZk_Q-MRjKkcCF3RE16QeQrzsk_6S7UjahV1hhfhWy1-wdtVC3IGFpPY-ZZE%3D&xkcb=SoDe67M3FA1MnuySxR0FbzkdCdPP&fccid=3fc3297f549a55e7&vjs=3
136,Qa programmer lead,False,['r/>\uf0b7 8-10 years'],https://in.indeed.com/rc/clk?jk=8a99136895a1c335&bb=P8Mr1Zk1oK16EDkigqOu7r5IHiO4FJ3uiNjXfO_sHtpPskcjkhoUJtGyLHgiwJtmTVoDYlq6MwHJxfs5Q6-dQ8wRJduN6n2bJ4DeO02593c%3D&xkcb=SoCD67M3FA1GALySxR0LbzkdCdPP&fccid=b6fffcba8afdda3b&cmp=Regan-Network-hr-solution&ti=Quality+Assurance+Manager&vjs=3
137,C++ Developer,True,"['eld 2. 3+ years', 'eld 2. 3+ years']",https://in.indeed.com/rc/clk?jk=9e86d4559f4454b9&bb=P8Mr1Zk1oK16EDkigqOu7k4jYaRnZfyOuN2YyDyZkft4iPPkCkvDt9_dFBPYrNU7cuQtV2QPGtl7v9-5Y4h-yQiiBAotPgrd7phCPQrF8-Q%3D&xkcb=SoA367M3FA1GALySxR0KbzkdCdPP&fccid=01bb9926411ba157&vjs=3
138,Full Stack Developer,False,['minimum 4 years'],https://in.indeed.com/rc/clk?jk=1207c4154f8305ab&bb=P8Mr1Zk1oK16EDkigqOu7uREqcDIfWcnd7scE53dBdcAfaSRqvCSkzSEaPLGDTQ-ruxcuN-FJonWr_8i7xlntnTT0GwaZv7Q-XkFyTDnXUQ%3D&xkcb=SoCq67M3FA1GALySxR0JbzkdCdPP&fccid=47bf894193032615&vjs=3
139,Data Scientist | Cloud Products - WFH,False,"['e:</b> 7+ years', 'mum of 7+ years']",https://in.indeed.com/rc/clk?jk=0e79fbd652f3bf31&bb=P8Mr1Zk1oK16EDkigqOu7oxpm2T5idqUvArzvUNfrh2rL833UcSLYsLmwAVYj7vYB9hLXhJQT9a3m8tz6dguBinlcXX7ZkOJmapwHT_VVWA%3D&xkcb=SoAe67M3FA1GALySxR0IbzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Data+Scientist&vjs=3
140,Developer Conversion,False,['> <li> 3+ years'],https://in.indeed.com/rc/clk?jk=bc91585377e7d44f&bb=P8Mr1Zk1oK16EDkigqOu7l8JHP8y11S-lih0pZENKn-Iolxu06VjyTHRONX14rmYj3yzbzt9x7RsJ2Vxd5MY1gN7AvD8QYkXTQ2mG_UI9tc%3D&xkcb=SoCQ67M3FA1GALySxR0PbzkdCdPP&fccid=796b5a2c2fc5984d&vjs=3
141,Big Data Engineers (Java/Scala/Hadoop/Spark/AWS),False,"[' plus 4-8 years', '> <li> 3+ years']",https://in.indeed.com/rc/clk?jk=40ed5271a0de223e&bb=P8Mr1Zk1oK16EDkigqOu7uO6rkgnFR2XQja1y-U_6xRkXo7ifxI4dpD8ljbOaHUYNFnhfN9F2tfEzv8W0plGUpVfQwJZnXwJnl6Hv_qvJDw%3D&xkcb=SoAk67M3FA1GALySxR0ObzkdCdPP&fccid=683f563b5cc25b70&vjs=3
142,Senior Software Engineer - ROR,False,"[' with 4-8 years', 't least 3 years']",https://in.indeed.com/rc/clk?jk=3921a8fd729d11d4&bb=P8Mr1Zk1oK16EDkigqOu7iEYGrQpXcYKn10xUIdCRKZmwl5BPfqlcCRwgV9p0FepUHzXLIMvYRU-bAWGEaPgNal9v0VFsLsWWNAOj0HKVKs%3D&xkcb=SoC567M3FA1GALySxR0NbzkdCdPP&fccid=3cc82e28c6738024&vjs=3
143,JavaScript-Application Developer,True,['inimum 15 years'],https://in.indeed.com/rc/clk?jk=d47c16f08eb344df&bb=P8Mr1Zk1oK16EDkigqOu7ndId6PZpdkDtVSDpVoqJ7lw0IblVdgbHRsdv37PPMOU9GE2iQo2l8FCCBDUGrSXndVrZtpV2l-lkyHZRq_07Qo%3D&xkcb=SoAN67M3FA1GALySxR0MbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
144,"Windows Software Driver Developer, Staff",False,"['ld and 4+ years', 'ld and 3+ years', 'ld and 2+ years', 'l> <li>2+ years', 'l> <li>5+ years']",https://in.indeed.com/rc/clk?jk=4849a34f055c9df8&bb=P8Mr1Zk1oK16EDkigqOu7jAE0STRXkw0tzW9KMXiVkv61gtXGi9mXkS8IlEIuwnHukBly90ASizBzUIZdCpa50LGUE0mUj5YxHgQotmU1PE%3D&xkcb=SoDk67M3FA1GALySxR0DbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
145,Python Developer | GMK,True,[],https://in.indeed.com/rc/clk?jk=a667809b7f76e4ae&bb=P8Mr1Zk1oK16EDkigqOu7j3xyX7N0zVacAPcCmG1sa5WGmwLT1rxHveKstg2G7IuFF6z1qom49soloE3IeO6E0sLME6pZg31MzfmxiqHaRg%3D&xkcb=SoBQ67M3FA1GALySxR0CbzkdCdPP&fccid=c9a97f04c209d3f8&vjs=3
146,"Big Data Engineers (Airflow, Python, Spark)",True,['> <li> 2+ years'],https://in.indeed.com/rc/clk?jk=93e1d0414e14fa73&bb=P8Mr1Zk1oK16EDkigqOu7mWUkAnMrBj7w5F6nHz8VdIQ2nxI8GjgHfyI9T4UbMmTgXcXAbcA89arQBRuSa3YQIlXUo2J1o2nIZUmrTMKAgM%3D&xkcb=SoDN67M3FA1GALySxR0BbzkdCdPP&fccid=cb6a64d99465ef02&vjs=3
147,Application Developer,True,[],https://in.indeed.com/rc/clk?jk=b3156652ed2d5036&bb=P8Mr1Zk1oK16EDkigqOu7ndId6PZpdkDnv0AJC8qbkjKDyE-SoFHkUSxNtzxFwxQBxo_UKCs95mSpFDegaRK41sZjFZBYdHJrBlJljZfzl0%3D&xkcb=SoB567M3FA1GALySxR0AbzkdCdPP&fccid=d61ce76adadd1b79&vjs=3
148,Senior Backend Developer,False,"['> <p>● 5+ years', 'least 2-3 years', 'amming: 6 years', 'python: 6 years']",https://in.indeed.com/rc/clk?jk=9287d806b67084ea&bb=P8Mr1Zk1oK16EDkigqOu7rK7y1-L7_FE4rAXlq48bS3RdCmoV6jEbM_R51Mchya02xeog8hOC_wnRk3cJaK3XaW3FQys_3cV39GlvAFKLUQ%3D&xkcb=SoD367M3FA1GALySxR0HbzkdCdPP&fccid=67910888e89355b8&cmp=Coincrowd&ti=Back+End+Developer&vjs=3
149,Cloud Developer With Python Expertise,False,['l> <li>3+ years'],https://in.indeed.com/rc/clk?jk=25ab1e555ec3e3fe&bb=P8Mr1Zk1oK16EDkigqOu7jV8CvedE3VrUfNC7kQw2W-z0AYbMuaqDp6SrDVNKYePOTyRfVmme5g_ZYdwMQqckN99eN8bbClKQHydsnzAilU%3D&xkcb=SoBD67M3FA1GALySxR0GbzkdCdPP&fccid=6076c608fca3045a&vjs=3
150,Sr. Python Developer,False,"['ce: 4 - 8 years', 'minimum 5 years', 'python: 4 years']",https://in.indeed.com/rc/clk?jk=f5afb6ce2e3a0213&bb=P8Mr1Zk1oK16EDkigqOu7nliFLFpyO7KOrZoikas0WXpHW3y62n5mHB-DIPJmCzgvYbGkQ2BmL5LmIy4LfFpdZA9jLLFbf39j3mg0NEd198%3D&xkcb=SoDe67M3FA1GALySxR0FbzkdCdPP&fccid=2e616707036710a3&cmp=Dotcod-Innovation-Private-Limited&ti=Python+Developer&vjs=3
151,Application Developer,True,[],https://in.indeed.com/rc/clk?jk=b3156652ed2d5036&bb=eddqIInsKQLBwAW2wC4uMjL1uml8DYlFTTaz6zog0IXCRGe1A_dnUgPcaeNoeuI1bvmeAEN1_KLUxGjj6mcqKTXaISnyS4aAdqjc1cdK14k%3D&xkcb=SoDx67M3FA1fKxyndp0LbzkdCdPP&fccid=d61ce76adadd1b79&vjs=3
152,Backend Developer(Python ),False,"['>● min 3+ years', 'amming: 3 years']",https://in.indeed.com/rc/clk?jk=d373409f68c06aa9&bb=eddqIInsKQLBwAW2wC4uMhRXZ1xsbZ99jtLO8U5799s4PG0_FX-kP43Q1mKPBnD2sD5qDPia7xa2Rs49H0UR4hoRZdIx37oAD8ztlZy1npM%3D&xkcb=SoBF67M3FA1fKxyndp0KbzkdCdPP&fccid=c8d64c81ac15c3f3&cmp=KonnectNXT&ti=Back+End+Developer&vjs=3
153,Sr. Python Developer,False,"['ce: 4 - 8 years', 'minimum 5 years', 'python: 4 years']",https://in.indeed.com/rc/clk?jk=f5afb6ce2e3a0213&bb=eddqIInsKQLBwAW2wC4uMjnqd59cA3t7rtL2mdIevGIH-fTZ3SiANYUyXTIpy9UdhByDcVLnuovmn3RBd1g6cTSHngjZobl5BfrjKtrPHEw%3D&xkcb=SoDY67M3FA1fKxyndp0JbzkdCdPP&fccid=2e616707036710a3&cmp=Dotcod-Innovation-Private-Limited&ti=Python+Developer&vjs=3
154,Senior .Net Developer,False,"['<p>5 to 8 years', 'l work: 5 years']",https://in.indeed.com/rc/clk?jk=5a5cbdaca3d082df&bb=eddqIInsKQLBwAW2wC4uMjnqd59cA3t7ORL9U0g8j4MJcrqcvHaii_974I1oRTj9TccTkFxT3BNDZeWLrsZyj1-vMFt54ukXSnH30Gs9uYQ%3D&xkcb=SoBs67M3FA1fKxyndp0IbzkdCdPP&fccid=b8ce45ae8793cec6&cmp=Princeton-IT-America&ti=Senior+.NET+Developer&vjs=3
155,Python Developer,True,['l work: 2 years'],https://in.indeed.com/rc/clk?jk=14c87d9d416bf123&bb=eddqIInsKQLBwAW2wC4uMi0du0At37OzwCqtefMkMp9KiqJWJnMKB9Zi5oxg9nrzQXx683W9PY8iiPOxdvq1NSpoJwvO1QdUgEHyRC7vU30%3D&xkcb=SoDi67M3FA1fKxyndp0PbzkdCdPP&fccid=80012af19dde32e0&cmp=SKYLARK-HR-SOLUTIONS&ti=Python+Developer&vjs=3
156,Senior Developer III,False,"['couple of years', ' <br/> 5+ years']",https://in.indeed.com/rc/clk?jk=47459e40aa5da377&bb=eddqIInsKQLBwAW2wC4uMtvZFIYCAMkK44zvkMPKW2X2S6cDRele33c5yzgR47zs7yNwNyGqI14Thqu21_5zNjjw0doDKCWdUwdh_UsDKfE%3D&xkcb=SoBW67M3FA1fKxyndp0ObzkdCdPP&fccid=9917de3c28f569f6&vjs=3
157,Lead Data Integration Engineer (Snowflake Developer),False,['l> <li>6+ years'],https://in.indeed.com/rc/clk?jk=8bd5bc140905a4e0&bb=eddqIInsKQLBwAW2wC4uMhCUBAQbrcBLDgjjMmTBGIKrS0w_Cd1iXdQ-uGHD5Mp-LH8ImbxatkFv1sliMMns_gwCgQXljTMpwfpELDEfIW0%3D&xkcb=SoDL67M3FA1fKxyndp0NbzkdCdPP&fccid=22423bb77dd8554a&vjs=3
158,DevOps Engineer (DevOps/Terraform/AWS),False,['> <li> 6+ years'],https://in.indeed.com/rc/clk?jk=7596b8929744aa48&bb=eddqIInsKQLBwAW2wC4uMso-5tZq6o-zlOztuIfo_SoAKL99Y3mK0aJVHL4REhnSUz1waF5mpUjpWx3HnrpMdXGM-aBHHDaDK85bDSi7FEo%3D&xkcb=SoB_67M3FA1fKxyndp0MbzkdCdPP&fccid=683f563b5cc25b70&vjs=3
159,Software Developer,True,[],https://in.indeed.com/rc/clk?jk=1be423e7fa92eaeb&bb=eddqIInsKQLBwAW2wC4uMtvZFIYCAMkKcKPNqihtmqmEEhD7PmWXicN0_s_im-Hqp-EV3ZzibewYV7KcOeXJAIuztdHpZwa4r7f-OQEg8Hg%3D&xkcb=SoCW67M3FA1fKxyndp0DbzkdCdPP&fccid=edaf930aa742f4a1&cmp=Admire-Solution&ti=Software+Engineer&vjs=3
160,Data Scientist,True,[],https://in.indeed.com/rc/clk?jk=14082bddace1f10d&bb=eddqIInsKQLBwAW2wC4uMqK7zSXWj0yROK-CI3g2qYslzJG049ts5lxfsD9ugtNmdb46FRo3StN8jNLHbmIMVT-AFHcKu2kErPRDL3x5Y0s%3D&xkcb=SoAi67M3FA1fKxyndp0CbzkdCdPP&fccid=1b980b4f5c48c05a&vjs=3
161,Ruby on Rails Developer - India,True,['l> <li>1+ years'],https://in.indeed.com/rc/clk?jk=85828e5995ef80af&bb=eddqIInsKQLBwAW2wC4uMl3-TmiVeuYi6WBLgVELD0ZYU2e4FnOqRkuNmi87SF34Te_aUjMMA3bVYIw4N70CURHEBRsUE4EiAGXHmTB3HOo%3D&xkcb=SoC_67M3FA1fKxyndp0BbzkdCdPP&fccid=e464174d4cbad285&vjs=3
162,Linux Operations Engineer I - IN (R-18595),True,"['perience. years', 'ired: 2-4 years', 'l up: 1-2 years']",https://in.indeed.com/rc/clk?jk=c12a7f21f734decc&bb=eddqIInsKQLBwAW2wC4uMgNxjIW_u8VLJ9ltOUMUV8XuEe8eijZ3A8cBI_8v3LQBIFWx3RvvRokGm6iR3_OvfMhnCx9uSWVXTKiM6um_ZOE%3D&xkcb=SoAL67M3FA1fKxyndp0AbzkdCdPP&fccid=b60c9324aeb7df96&vjs=3
163,Principal Software Engineering Manager,True,"[', and 10+ years', 'every two years']",https://in.indeed.com/rc/clk?jk=c0a7b17c9dcfd479&bb=eddqIInsKQLBwAW2wC4uMoUPxU9FhlCzGCiU6d9B9gVw9CKxUE5Y6GwX8agQEv3AOXf4-85vzloiK2u5JokWvEa8_CVVKDi30yM3lpUoqK0%3D&xkcb=SoCF67M3FA1fKxyndp0HbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
164,"Staff Engineer, Windows Client",False,"['inimum 8+ years', 'l> <li>8+ years']",https://in.indeed.com/rc/clk?jk=b22d652b1eb14336&bb=eddqIInsKQLBwAW2wC4uMnFkxWBo_trGDstkXnh0vpcDTSUeRn01hvBjATixMT3RJd-_y-9JKUcpVWbVhFAetkPN5D3ebw1fETIkbDzTyoQ%3D&xkcb=SoAx67M3FA1fKxyndp0GbzkdCdPP&fccid=720a8d2e70b4a8fe&vjs=3
165,AWS Data Engineer,True,[],https://in.indeed.com/rc/clk?jk=518d96fc20e66ec2&bb=eddqIInsKQLBwAW2wC4uMtU9k7Wuilesnh3j5-1lpeVqnbZFNbzxe3jfjidA86b1XJu2Mg9UyVLGh5cMLdDmqdef5hbUk1c18qh0wpbuU_Q%3D&xkcb=SoCs67M3FA1fKxyndp0FbzkdCdPP&fccid=78aa1257dda2abba&vjs=3
166,Full Stack Developer - React.js/ Node.js,True,[],https://in.indeed.com/rc/clk?jk=b5f37ca907cc6f9d&bb=TVXawZurc3-xLNgCAS0nX4ilyty20TJj5avD5ahdXOG2-IApqDWC-HbdR9trtp_KZc58ybQuR_wYgjxvx5UzEikotVvASJaDCAHi0RYaa-o%3D&xkcb=SoAt67M3FA1Yw-ySxR0LbzkdCdPP&fccid=522759de3c355e58&vjs=3
167,Artificial Intelligence Developer - Machine Learning/ Python,False,['> <li>3-5 years'],https://in.indeed.com/rc/clk?jk=72950d467d232a0a&bb=TVXawZurc3-xLNgCAS0nX5YfP3G4GJ2UR5xOp61VP5mrgNTYrVBbFMrMJhgP3d3wjkotFUbhaGoJg8ACmCqDuPqjRpzz8aHkv5O8eDhLmOA%3D&xkcb=SoCZ67M3FA1Yw-ySxR0KbzkdCdPP&fccid=522759de3c355e58&vjs=3
168,Python developer,True,[],https://in.indeed.com/rc/clk?jk=c3d8bba552a33c26&bb=TVXawZurc3-xLNgCAS0nX97OP3DPtf-jJqU7nEQe5RmDnNMZ7M4yQAmObgSkBzsUFYH7wTNSEl3WJDf0ZseT5mV8OgNBNwdR698wEowtqGI%3D&xkcb=SoAE67M3FA1Yw-ySxR0JbzkdCdPP&fccid=048898f93895e21b&cmp=Crawlapps-Technologies-Pvt.-Ltd&ti=Python+Developer&vjs=3
169,Software Developer - Full Stack,True,"['e:</b> 2+ years', 'imum of 2 years', 'm last 15 years', 'l work: 2 years']",https://in.indeed.com/rc/clk?jk=5ccc9f7e5877f1de&bb=TVXawZurc3-xLNgCAS0nX0i5pnCBdBj1JDsWJFjXkwHNSZTRWET0zuuA-n7WiEJ2Z0V8Ahqqyrs28xttPMb5iK4kaICbMlZX-BSvxLtwRiw%3D&xkcb=SoCw67M3FA1Yw-ySxR0IbzkdCdPP&fccid=c2f9f257b74802bb&cmp=Zenmonk&ti=Full+Stack+Developer&vjs=3
170,Engineer - I,True,[],https://in.indeed.com/rc/clk?jk=655c48796f9b8dc0&bb=TVXawZurc3-xLNgCAS0nX5JDm5Ww0xG2DSHX07A-aXjZ0I8ueHitDrFuYFXYiVuRKdvKYgVNIVelJkO2HRK_wUWQvbCm_HHwGeddxRkD2pA%3D&xkcb=SoA-67M3FA1Yw-ySxR0PbzkdCdPP&fccid=2cf59c6535b672b8&vjs=3
